asset,time,AdrActCnt,HashRate,PriceUSD,SplyCur,TxTfrCnt
btc,2015-09-13T00:00:00.000000000Z,317231,427538.389387398,230.548837317358,14609961.21063972,402946
btc,2015-09-14T00:00:00.000000000Z,311373,430369.769449566,230.948793980129,14613761.16283971,358305
btc,2015-09-15T00:00:00.000000000Z,324464,453020.809946911,230.398590005845,14617761.16283971,358765
btc,2015-09-16T00:00:00.000000000Z,301627,402055.968827884,229.043285797779,14621311.16283425,340847
btc,2015-09-17T00:00:00.000000000Z,315192,410910.027600594,233.202697837522,14624911.16282879,456749
btc,2015-09-18T00:00:00.000000000Z,320444,433587.717335429,233.175130917592,14628586.16282879,372281
btc,2015-09-19T00:00:00.000000000Z,268056,368697.038550535,232.241568088837,14631711.16282879,268075
btc,2015-09-20T00:00:00.000000000Z,336567,377545.767475748,231.362323787259,14634911.16262878,390574
btc,2015-09-21T00:00:00.000000000Z,357635,389344.072709365,226.773447983635,14638211.16232232,362896
btc,2015-09-22T00:00:00.000000000Z,348545,463083.480419472,230.626304792519,14642136.1621568,366076
btc,2015-09-23T00:00:00.000000000Z,297453,466033.056727876,230.132437755698,14646086.1621568,312475
btc,2015-09-24T00:00:00.000000000Z,295784,412940.683176599,234.319868497954,14649586.16214042,300505
btc,2015-09-25T00:00:00.000000000Z,292649,483730.514578302,235.538221800117,14653686.16204042,299940
btc,2015-09-26T00:00:00.000000000Z,314624,433587.717335429,234.591814436002,14657361.16199128,320529
btc,2015-09-27T00:00:00.000000000Z,324221,439486.869952237,233.243309760374,14661086.16199128,320045
btc,2015-09-28T00:00:00.000000000Z,295867,421789.412101812,240.017265341905,14664661.16199128,310960
btc,2015-09-29T00:00:00.000000000Z,355812,513226.277662345,237.336233781414,14669011.16199126,339796
btc,2015-09-30T00:00:00.000000000Z,334445,436537.293643833,236.739848042081,14672711.16139126,342010
btc,2015-10-01T00:00:00.000000000Z,297034,444776.382758561,238.229813851549,14676436.16139126,312997
btc,2015-10-02T00:00:00.000000000Z,309307,417179.763438577,237.937007305669,14679886.16139126,323035
btc,2015-10-03T00:00:00.000000000Z,252618,438341.05578691,239.735897720631,14683511.16128576,252149
btc,2015-10-04T00:00:00.000000000Z,303522,462525.389899291,239.516924897721,14687336.16128576,349866
btc,2015-10-05T00:00:00.000000000Z,297239,462525.389899291,240.961213833431,14691161.16128575,298597
btc,2015-10-06T00:00:00.000000000Z,325721,429271.930494767,246.940498246639,14694711.16128556,319950
btc,2015-10-07T00:00:00.000000000Z,310175,402064.554618338,243.734486849795,14698036.16128556,310783
btc,2015-10-08T00:00:00.000000000Z,301525,423225.846966672,243.029632963179,14701536.16126918,300054
btc,2015-10-09T00:00:00.000000000Z,274941,380903.262270005,244.448887492694,14704686.16126918,267867
btc,2015-10-10T00:00:00.000000000Z,317477,483686.682247624,245.955924313267,14708686.16126918,336826
btc,2015-10-11T00:00:00.000000000Z,296821,441364.097550958,248.528165400351,14712336.16126915,299476
btc,2015-10-12T00:00:00.000000000Z,307438,429271.930494767,246.093637346581,14715886.16126915,295292
btc,2015-10-13T00:00:00.000000000Z,307430,414156.721674529,250.471300701344,14719311.16125274,294186
btc,2015-10-14T00:00:00.000000000Z,317192,459502.348135244,253.142325540619,14723111.1612427,316282
btc,2015-10-15T00:00:00.000000000Z,360598,502137.288713881,254.693015002922,14727261.1612427,366169
btc,2015-10-16T00:00:00.000000000Z,342212,435823.398820657,262.737363237873,14730861.15944267,351269
btc,2015-10-17T00:00:00.000000000Z,375203,411610.987775065,271.930938924605,14734261.13954267,392861
btc,2015-10-18T00:00:00.000000000Z,327671,438849.950201356,263.481677381648,14737886.13914257,327846
btc,2015-10-19T00:00:00.000000000Z,349142,499380.977815336,264.362728229106,14742011.13564251,342506
btc,2015-10-20T00:00:00.000000000Z,403962,387398.576729473,270.832211864407,14745211.13564243,375917
btc,2015-10-21T00:00:00.000000000Z,343508,435823.398820657,268.040217708942,14748811.13564233,349635
btc,2015-10-22T00:00:00.000000000Z,352887,447929.604343453,275.414956458212,14752511.13564227,358507
btc,2015-10-23T00:00:00.000000000Z,361424,450956.155724152,278.612778026885,14756236.13564224,339128
btc,2015-10-24T00:00:00.000000000Z,378880,438849.950201356,283.61114289889,14759861.13564217,406019
btc,2015-10-25T00:00:00.000000000Z,371558,469115.464008346,286.04969345412,14763736.13564202,370671
btc,2015-10-26T00:00:00.000000000Z,371860,496354.426434637,286.703382817066,14767836.13564168,307981
btc,2015-10-27T00:00:00.000000000Z,353786,444903.052962754,295.562913793104,14771511.13564153,351559
btc,2015-10-28T00:00:00.000000000Z,355701,420690.641917162,304.442097019287,14774986.13544113,353881
btc,2015-10-29T00:00:00.000000000Z,385081,466068.004514329,314.879462302747,14778761.13544093,365056
btc,2015-10-30T00:00:00.000000000Z,372016,529187.24527939,328.492321157218,14783036.1354408,385966
btc,2015-10-31T00:00:00.000000000Z,367631,454915.351205088,314.119508182349,14786711.13544078,401732
btc,2015-11-01T00:00:00.000000000Z,393101,473483.324723664,329.854227644652,14790536.13544076,412896
btc,2015-11-02T00:00:00.000000000Z,404897,473483.324723664,364.616627995324,14794361.13544069,402522
btc,2015-11-03T00:00:00.000000000Z,449049,479672.649229855,400.923105201637,14798236.13544067,449537
btc,2015-11-04T00:00:00.000000000Z,498795,479672.649229855,405.481681472823,14802111.13543059,495215
btc,2015-11-05T00:00:00.000000000Z,441656,451820.688951993,384.341222969024,14805761.13542978,436747
btc,2015-11-06T00:00:00.000000000Z,426032,448726.026698897,372.975417884278,14809386.13542975,453626
btc,2015-11-07T00:00:00.000000000Z,365479,470388.662470568,386.504550847458,14813186.13542967,369202
btc,2015-11-08T00:00:00.000000000Z,386676,430158.053180322,372.400129748685,14816661.13541325,390970
btc,2015-11-09T00:00:00.000000000Z,408589,461104.67571128,380.495644360023,14820386.13541277,395806
btc,2015-11-10T00:00:00.000000000Z,399491,451820.688951993,337.830502337814,14824036.13539571,394989
btc,2015-11-11T00:00:00.000000000Z,374115,537055.796106772,308.922185856225,14828236.13527895,370460
btc,2015-11-12T00:00:00.000000000Z,374348,527006.857659411,337.522988603156,14832261.1352761,392888
btc,2015-11-13T00:00:00.000000000Z,358205,523733.523139787,337.278958211572,14836261.13527581,367045
btc,2015-11-14T00:00:00.000000000Z,383137,464813.50178656,333.047117475161,14839811.13527567,398658
btc,2015-11-15T00:00:00.000000000Z,409132,523733.523139787,319.928021624781,14843811.1352747,412838
btc,2015-11-16T00:00:00.000000000Z,404593,566286.871894895,331.132725014611,14848136.13527453,382609
btc,2015-11-17T00:00:00.000000000Z,388743,487726.843423926,335.849786090006,14851861.13526879,385385
btc,2015-11-18T00:00:00.000000000Z,403730,500820.181502421,335.744504967855,14855686.13525778,422301
btc,2015-11-19T00:00:00.000000000Z,345821,445173.494668818,326.232145528931,14859086.13525741,343138
btc,2015-11-20T00:00:00.000000000Z,361600,546646.864777153,321.940475452951,14863261.13525728,373085
btc,2015-11-21T00:00:00.000000000Z,370942,569560.206414519,325.905231151373,14867611.13524075,386179
btc,2015-11-22T00:00:00.000000000Z,379184,563013.537375271,323.716966101695,14871911.13524056,399893
btc,2015-11-23T00:00:00.000000000Z,340771,533553.526698658,323.012556341321,14875986.13524023,336324
btc,2015-11-24T00:00:00.000000000Z,385973,560533.42415402,319.961356527177,14879886.13524011,387655
btc,2015-11-25T00:00:00.000000000Z,364221,535030.217025699,328.960457334892,14883586.13523992,357056
btc,2015-11-26T00:00:00.000000000Z,386928,636252.149976506,356.255292518995,14887986.13523984,384045
btc,2015-11-27T00:00:00.000000000Z,360234,480804.181516337,359.268824371712,14891311.13515748,361499
btc,2015-11-28T00:00:00.000000000Z,410729,556720.631229443,356.567322618352,14895161.13483732,442371
btc,2015-11-29T00:00:00.000000000Z,328208,538645.286059656,371.707612507306,14898886.1348373,303043
btc,2015-11-30T00:00:00.000000000Z,490103,585641.183501102,377.389839859731,14902936.13483719,510611
btc,2015-12-01T00:00:00.000000000Z,414541,603716.528670889,362.532375803624,14907111.13482619,419556
btc,2015-12-02T00:00:00.000000000Z,424374,582026.114467145,359.22240414962,14911136.13482609,439178
btc,2015-12-03T00:00:00.000000000Z,359444,513339.802821954,361.210068088837,14914686.13482596,345059
btc,2015-12-04T00:00:00.000000000Z,416094,553105.562195486,363.241631794272,14918511.13482583,405613
btc,2015-12-05T00:00:00.000000000Z,460264,632637.080942549,389.362958796026,14922886.13479302,490227
btc,2015-12-06T00:00:00.000000000Z,425554,577650.161239677,393.319129748685,14926861.13458208,463021
btc,2015-12-07T00:00:00.000000000Z,449269,578033.500385697,395.346588252484,14930536.13452083,450799
btc,2015-12-08T00:00:00.000000000Z,452823,688135.119506783,413.798660432496,14934911.13404066,472884
btc,2015-12-09T00:00:00.000000000Z,493312,660609.714726512,417.632671244886,14939111.1340406,501865
btc,2015-12-10T00:00:00.000000000Z,473257,849355.347505516,415.729924313267,14944511.13404054,490482
