date,portfolio_value,actions
2021-08-02,9655.582157931483,BUY 0.00 USD
2021-08-03,9598.206258225799,BUY 0.00 USD
2021-08-04,9680.583890485612,BUY 0.00 USD
2021-08-05,9898.661999960132,BUY 0.00 USD
2021-08-06,10354.457736448114,BUY 0.00 USD
2021-08-07,11130.017301965783,BUY 0.00 USD
2021-08-08,10805.746735443252,BUY 0.00 USD
2021-08-09,10831.527554936101,BUY 0.00 USD
2021-08-10,11047.90191236974,BUY 0.00 USD
2021-08-11,10985.716025833157,BUY 0.00 USD
2021-08-12,11505.448084471856,BUY 0.00 USD
2021-08-13,11285.938691325178,BUY 0.00 USD
2021-08-14,11517.438988118713,BUY 0.00 USD
2021-08-15,11524.497002487762,BUY 0.00 USD
2021-08-16,12340.282228833159,BUY 0.00 USD
2021-08-17,12237.050887259626,BUY 0.00 USD
2021-08-18,12343.523313792775,BUY 0.00 USD
2021-08-19,12446.918208919085,BUY 0.00 USD
2021-08-20,12911.609191851572,BUY 0.00 USD
2021-08-21,13267.260677613984,BUY 0.00 USD
2021-08-22,12526.613610995188,BUY 0.00 USD
2021-08-23,12200.68121760003,BUY 0.00 USD
2021-08-24,12300.919064097965,BUY 0.00 USD
2021-08-25,12223.67229326261,BUY 0.00 USD
2021-08-26,12658.717728338332,BUY 0.00 USD
2021-08-27,12128.987120039537,BUY 0.00 USD
2021-08-28,11761.336886698407,BUY 0.00 USD
2021-08-29,12163.247259896845,BUY 0.00 USD
2021-08-30,12497.878692438251,BUY 0.00 USD
2021-08-31,12399.895419655499,BUY 0.00 USD
2021-09-01,12337.648541453504,BUY 0.00 USD
2021-09-02,12269.190252899758,BUY 0.00 USD
2021-09-03,12657.32683831857,BUY 0.00 USD
2021-09-04,12643.516596702473,BUY 0.00 USD
2021-09-05,12329.800046568915,BUY 0.00 USD
2021-09-06,12251.867725303826,BUY 0.00 USD
2021-09-07,12342.083607047587,BUY 0.00 USD
2021-09-08,12661.159062345492,BUY 0.00 USD
2021-09-09,13564.482402210031,BUY 0.00 USD
2021-09-10,13474.877640475204,BUY 0.00 USD
2021-09-11,13005.031827148301,BUY 0.00 USD
2021-09-12,13046.574399838042,BUY 0.00 USD
2021-09-13,12869.047121374564,BUY 0.00 USD
2021-09-14,12933.076716571171,BUY 0.00 USD
2021-09-15,13060.4908598284,BUY 0.00 USD
2021-09-16,12803.683664667376,BUY 0.00 USD
2021-09-17,12114.631229645469,BUY 0.00 USD
2021-09-18,12080.853556597947,BUY 0.00 USD
2021-09-19,11406.03051780464,BUY 0.00 USD
2021-09-20,11651.027815572053,BUY 0.00 USD
2021-09-21,11999.550205857393,BUY 0.00 USD
2021-09-22,11855.584515974073,BUY 0.00 USD
2021-09-23,11323.571342582258,BUY 0.00 USD
2021-09-24,11576.357383052162,BUY 0.00 USD
2021-09-25,11475.854406899958,BUY 0.00 USD
2021-09-26,11850.770872092884,BUY 0.00 USD
2021-09-27,10804.835148480912,BUY 0.00 USD
2021-09-28,10972.58222888902,BUY 0.00 USD
2021-09-29,11497.290977343886,BUY 0.00 USD
2021-09-30,11632.277774082515,BUY 0.00 USD
2021-10-01,11466.853643933531,BUY 0.00 USD
2021-10-02,11483.642528094284,BUY 0.00 USD
2021-10-03,11363.60257477537,BUY 0.00 USD
2021-10-04,10778.927585996284,BUY 0.00 USD
2021-10-05,9872.801885544906,BUY 0.00 USD
2021-10-06,9906.412530357118,BUY 0.00 USD
2021-10-07,10149.08305198084,BUY 0.00 USD
2021-10-08,10156.92502516141,BUY 0.00 USD
2021-10-09,10142.09998089716,BUY 0.00 USD
2021-10-10,9627.403811167278,BUY 0.00 USD
2021-10-11,9526.869012599886,BUY 0.00 USD
2021-10-12,9905.34325062287,BUY 0.00 USD
2021-10-13,10068.980987665027,BUY 0.00 USD
2021-10-14,9395.947016869855,BUY 0.00 USD
2021-10-15,9698.670601747524,BUY 0.00 USD
2021-10-16,9806.705689846136,BUY 0.00 USD
2021-10-17,9572.305058928392,BUY 0.00 USD
2021-10-18,9305.40351963975,BUY 0.00 USD
2021-10-19,9419.955533579569,BUY 0.00 USD
2021-10-20,9414.242542338661,BUY 0.00 USD
2021-10-21,9429.974955631747,BUY 0.00 USD
2021-10-22,9857.202667942047,BUY 0.00 USD
2021-10-23,9778.885838908534,BUY 0.00 USD
2021-10-24,10184.739712111508,BUY 0.00 USD
2021-10-25,10198.971334677417,BUY 0.00 USD
2021-10-26,10160.133916538125,BUY 0.00 USD
2021-10-27,10201.87779488844,BUY 0.00 USD
2021-10-28,10201.49040937875,BUY 0.00 USD
2021-10-29,9574.228003787328,BUY 0.00 USD
2021-10-30,9332.683974347581,BUY 0.00 USD
2021-10-31,9459.637608003492,BUY 0.00 USD
2021-11-01,9309.547383658366,BUY 0.00 USD
